Slice,Count,Total Area,Average Size,%Area,Mean
aboisso_2.jpeg,2,174014,87007.000,95.076,255
aboisso_3.jpeg,1,172281,172281.000,94.129,255
aboisso_4.jpeg,1,181861,181861.000,99.363,255
aboisso_5.jpeg,2,180872,90436.000,98.823,255
aboisso_6.jpeg,2,177740,88870.000,97.111,255
aboisso_7.jpeg,2,177866,88933.000,97.180,255
aboisso_8.jpeg,3,176539,58846.333,96.455,255
adzope_1.jpeg,1,180839,180839.000,98.805,255
adzope_10.jpeg,1,171724,171724.000,93.824,255
adzope_2.jpeg,2,174277,87138.500,95.219,255
adzope_3.jpeg,2,178601,89300.500,97.582,255
adzope_4.jpeg,1,180789,180789.000,98.777,255
adzope_6.jpeg,4,173914,43478.500,95.021,255
adzope_7.jpeg,1,180475,180475.000,98.606,255
adzope_9.jpeg,4,172268,43067.000,94.122,255
agnibilekrou_1.jpeg,2,178407,89203.500,97.476,255
agnibilekrou_10.jpeg,4,174774,43693.500,95.491,255
agnibilekrou_2.jpeg,3,180390,60130.000,98.559,255
agnibilekrou_3.jpeg,2,175767,87883.500,96.033,255
agnibilekrou_4.jpeg,1,180538,180538.000,98.640,255
agnibilekrou_5.jpeg,4,180810,45202.500,98.789,255
agnibilekrou_6.jpeg,1,176794,176794.000,96.594,255
agnibilekrou_7.jpeg,1,173385,173385.000,94.732,255
agnibilekrou_8.jpeg,1,179502,179502.000,98.074,255
agnibilekrou_9.jpeg,2,180543,90271.500,98.643,255
azaguie_1.jpeg,1,176665,176665.000,96.524,255
azaguie_10.jpeg,1,182227,182227.000,99.563,255
azaguie_2.jpeg,7,174316,24902.286,95.241,255
azaguie_3.jpeg,2,174619,87309.500,95.406,255
azaguie_4.jpeg,2,175408,87704.000,95.837,255
azaguie_5.jpeg,1,178875,178875.000,97.731,255
azaguie_6.jpeg,3,167839,55946.333,91.702,255
azaguie_7.jpeg,1,181973,181973.000,99.424,255
azaguie_8.jpeg,2,177300,88650.000,96.871,255
azaguie_9.jpeg,1,181665,181665.000,99.256,255
biankouma_1.jpeg,1,182269,182269.000,99.586,255
biankouma_10.jpeg,1,179926,179926.000,98.306,255
biankouma_2.jpeg,1,180164,180164.000,98.436,255
biankouma_3.jpeg,2,179129,89564.500,97.870,255
biankouma_4.jpeg,1,180278,180278.000,98.498,255
biankouma_5.jpeg,1,180380,180380.000,98.554,255
biankouma_6.jpeg,2,177674,88837.000,97.075,255
biankouma_7.jpeg,1,180016,180016.000,98.355,255
biankouma_8.jpeg,1,177651,177651.000,97.063,255
biankouma_9.jpeg,2,181299,90649.500,99.056,255
ble_1.jpeg,1,181087,181087.000,98.940,255
ble_10.jpeg,2,178852,89426.000,97.719,255
ble_2.jpeg,1,180663,180663.000,98.708,255
ble_3.jpeg,3,179709,59903.000,98.187,255
ble_4.jpeg,1,182731,182731.000,99.838,255
ble_5.jpeg,1,181907,181907.000,99.388,255
ble_6.jpeg,1,174199,174199.000,95.177,255
ble_7.jpeg,1,180689,180689.000,98.723,255
ble_8.jpeg,6,168362,28060.333,91.988,255
ble_9.jpeg,3,175681,58560.333,95.986,255
bonon_1.jpeg,1,180798,180798.000,98.782,255
bonon_10.jpeg,1,180458,180458.000,98.596,255
bonon_2.jpeg,1,176217,176217.000,96.279,255
bonon_3.jpeg,1,174948,174948.000,95.586,255
bonon_4.jpeg,1,178922,178922.000,97.757,255
bonon_5.jpeg,7,170910,24415.714,93.380,255
bonon_6.jpeg,2,177904,88952.000,97.201,255
bonon_7.jpeg,1,177454,177454.000,96.955,255
bonon_8.jpeg,2,173997,86998.500,95.066,255
bonon_9.jpeg,1,177267,177267.000,96.853,255
fresco_1.jpeg,1,179885,179885.000,98.283,255
fresco_10.jpeg,1,178541,178541.000,97.549,255
fresco_2.jpeg,1,169314,169314.000,92.508,255
fresco_3.jpeg,1,178594,178594.000,97.578,255
fresco_4.jpeg,1,180601,180601.000,98.675,255
fresco_5.jpeg,1,178126,178126.000,97.322,255
fresco_6.jpeg,3,178710,59570.000,97.641,255
fresco_7.jpeg,2,179910,89955.000,98.297,255
fresco_8.jpeg,1,178550,178550.000,97.554,255
fresco_9.jpeg,1,172535,172535.000,94.268,255
grdbereby_1.jpeg,1,181834,181834.000,99.348,255
grdbereby_10.jpeg,1,180086,180086.000,98.393,255
grdbereby_2.jpeg,1,181585,181585.000,99.212,255
grdbereby_3.jpeg,2,175608,87804.000,95.946,255
grdbereby_4.jpeg,1,179215,179215.000,97.917,255
grdbereby_5.jpeg,1,181130,181130.000,98.964,255
grdbereby_6.jpeg,1,178606,178606.000,97.585,255
grdbereby_7.jpeg,1,180631,180631.000,98.691,255
grdbereby_8.jpeg,4,171276,42819.000,93.580,255
grdbereby_9.jpeg,1,182416,182416.000,99.666,255
guiglo_1.jpeg,3,180645,60215.000,98.699,255
guiglo_10.jpeg,1,178885,178885.000,97.737,255
guiglo_2.jpeg,3,175579,58526.333,95.931,255
guiglo_3.jpeg,3,179189,59729.667,97.903,255
guiglo_4.jpeg,1,181359,181359.000,99.089,255
guiglo_5.jpeg,1,179085,179085.000,97.846,255
guiglo_6.jpeg,3,177106,59035.333,96.765,255
guiglo_7.jpeg,1,172138,172138.000,94.051,255
guiglo_8.jpeg,2,172456,86228.000,94.224,255
guiglo_9.jpeg,1,180300,180300.000,98.510,255
guiberoua_1.jpeg,3,179420,59806.667,98.029,255
guiberoua_10.jpeg,1,182760,182760.000,99.854,255
guiberoua_2.jpeg,1,171851,171851.000,93.894,255
guiberoua_3.jpeg,7,172546,24649.429,94.274,255
guiberoua_4.jpeg,1,182067,182067.000,99.475,255
guiberoua_5.jpeg,1,178135,178135.000,97.327,255
guiberoua_6.jpeg,1,178920,178920.000,97.756,255
guiberoua_7.jpeg,4,176757,44189.250,96.574,255
guiberoua_8.jpeg,4,177591,44397.750,97.030,255
guiberoua_9.jpeg,1,178452,178452.000,97.500,255
gueyo_1.jpeg,1,182155,182155.000,99.524,255
gueyo_10.jpeg,1,179637,179637.000,98.148,255
gueyo_2.jpeg,1,177979,177979.000,97.242,255
gueyo_3.jpeg,1,181453,181453.000,99.140,255
gueyo_4.jpeg,1,181057,181057.000,98.924,255
gueyo_5.jpeg,2,180879,90439.500,98.826,255
gueyo_6.jpeg,1,180112,180112.000,98.407,255
gueyo_7.jpeg,2,178386,89193.000,97.464,255
gueyo_8.jpeg,1,177621,177621.000,97.046,255
gueyo_9.jpeg,1,181149,181149.000,98.974,255
meagui_1.jpeg,1,176681,176681.000,96.533,255
meagui_10.jpeg,1,179146,179146.000,97.880,255
meagui_2.jpeg,6,172754,28792.333,94.387,255
meagui_3.jpeg,6,173654,28942.333,94.879,255
meagui_4.jpeg,1,178740,178740.000,97.658,255
meagui_5.jpeg,1,180107,180107.000,98.405,255
meagui_6.jpeg,1,179484,179484.000,98.064,255
meagui_7.jpeg,5,178481,35696.200,97.516,255
meagui_8.jpeg,5,165354,33070.800,90.344,255
meagui_9.jpeg,1,179000,179000.000,97.800,255
sanpedro_1.jpeg,1,180888,180888.000,98.831,255
sanpedro_10.jpeg,1,182810,182810.000,99.881,255
sanpedro_2.jpeg,1,180494,180494.000,98.616,255
sanpedro_3.jpeg,1,179180,179180.000,97.898,255
sanpedro_4.jpeg,2,181645,90822.500,99.245,255
sanpedro_5.jpeg,1,178093,178093.000,97.304,255
sanpedro_6.jpeg,1,181159,181159.000,98.979,255
sanpedro_7.jpeg,1,177854,177854.000,97.174,255
sanpedro_8.jpeg,3,176820,58940.000,96.609,255
sanpedro_9.jpeg,1,182654,182654.000,99.796,255
soubre_1.jpeg,1,176571,176571.000,96.473,255
soubre_10.jpeg,1,181621,181621.000,99.232,255
soubre_2.jpeg,1,174980,174980.000,95.603,255
soubre_3.jpeg,4,174117,43529.250,95.132,255
soubre_4.jpeg,3,177836,59278.667,97.164,255
soubre_5.jpeg,2,177278,88639.000,96.859,255
soubre_6.jpeg,1,176295,176295.000,96.322,255
soubre_7.jpeg,1,180560,180560.000,98.652,255
soubre_8.jpeg,2,177611,88805.500,97.041,255
soubre_9.jpeg,1,182118,182118.000,99.503,255
